Case_11:
Converge_CFD
Output file : species_mass_region0.out
Phi : 0.7
SOC : 10

Crank(deg)	Mass_H2(kg)	Mass_O2(kg)	Mass_H2O(kg)	Mass_OH(kg)	
-3.7800000E+02	0.0000000E+00	1.9009543E-06	2.1404916E-06	0.0000000E+00	
-3.7789566E+02	0.0000000E+00	1.9005571E-06	2.1400443E-06	0.0000000E+00	
-3.7779164E+02	0.0000000E+00	1.8999891E-06	2.1394048E-06	0.0000000E+00	
-3.7767173E+02	0.0000000E+00	1.8990104E-06	2.1383028E-06	0.0000000E+00	
-3.7758847E+02	0.0000000E+00	1.8980429E-06	2.1372134E-06	0.0000000E+00	
-3.7748438E+02	0.0000000E+00	1.8967228E-06	2.1357269E-06	0.0000000E+00	
-3.7736699E+02	0.0000000E+00	1.8949638E-06	2.1337463E-06	0.0000000E+00	
-3.7725044E+02	0.0000000E+00	1.8929629E-06	2.1314932E-06	0.0000000E+00	
-3.7712526E+02	0.0000000E+00	1.8905251E-06	2.1287482E-06	0.0000000E+00	
-3.7700008E+02	0.0000000E+00	1.8878230E-06	2.1257056E-06	0.0000000E+00	
-3.7688254E+02	0.0000000E+00	1.8850547E-06	2.1225885E-06	0.0000000E+00	
-3.7677755E+02	0.0000000E+00	1.8824178E-06	2.1196193E-06	0.0000000E+00	
-3.7666073E+02	0.0000000E+00	1.8792861E-06	2.1160930E-06	0.0000000E+00	
-3.7654344E+02	0.0000000E+00	1.8759690E-06	2.1123579E-06	0.0000000E+00	
-3.7642616E+02	0.0000000E+00	1.8723648E-06	2.1082996E-06	0.0000000E+00	
-3.7631030E+02	0.0000000E+00	1.8688124E-06	2.1042995E-06	0.0000000E+00	
-3.7619306E+02	0.0000000E+00	1.8651082E-06	2.1001286E-06	0.0000000E+00	
-3.7607584E+02	0.0000000E+00	1.8613154E-06	2.0958579E-06	0.0000000E+00	
-3.7595996E+02	0.0000000E+00	1.8574956E-06	2.0915567E-06	0.0000000E+00	
-3.7584277E+02	0.0000000E+00	1.8535766E-06	2.0871439E-06	0.0000000E+00	
-3.7572560E+02	0.0000000E+00	1.8496182E-06	2.0826867E-06	0.0000000E+00	
-3.7560844E+02	0.0000000E+00	1.8456334E-06	2.0781998E-06	0.0000000E+00	
-3.7549414E+02	0.0000000E+00	1.8417330E-06	2.0738079E-06	0.0000000E+00	
-3.7537932E+02	0.0000000E+00	1.8378109E-06	2.0693915E-06	0.0000000E+00	
