Case_8:
Converge_CFD
Output file : species_mass_region0.out
Phi : 0.3
SOC : 10

Crank(deg)	Mass_H2(kg)	Mass_O2(kg)	Mass_H2O(kg)	Mass_OH(kg)	
-3.7800000E+02	0.0000000E+00	1.9009543E-06	2.1404916E-06	0.0000000E+00	
-3.7789566E+02	0.0000000E+00	1.9005571E-06	2.1400443E-06	0.0000000E+00	
-3.7779164E+02	0.0000000E+00	1.8999891E-06	2.1394048E-06	0.0000000E+00	
-3.7767173E+02	0.0000000E+00	1.8990104E-06	2.1383028E-06	0.0000000E+00	
-3.7758847E+02	0.0000000E+00	1.8980429E-06	2.1372134E-06	0.0000000E+00	
-3.7748438E+02	0.0000000E+00	1.8967228E-06	2.1357269E-06	0.0000000E+00	
-3.7735983E+02	0.0000000E+00	1.8948368E-06	2.1336032E-06	0.0000000E+00	
-3.7723515E+02	0.0000000E+00	1.8926584E-06	2.1311503E-06	0.0000000E+00	
-3.7710994E+02	0.0000000E+00	1.8901874E-06	2.1283680E-06	0.0000000E+00	
-3.7698448E+02	0.0000000E+00	1.8874472E-06	2.1252825E-06	0.0000000E+00	
-3.7685878E+02	0.0000000E+00	1.8844387E-06	2.1218949E-06	0.0000000E+00	
-3.7675258E+02	0.0000000E+00	1.8817348E-06	2.1188503E-06	0.0000000E+00	
-3.7662759E+02	0.0000000E+00	1.8783299E-06	2.1150163E-06	0.0000000E+00	
-3.7650238E+02	0.0000000E+00	1.8747311E-06	2.1109640E-06	0.0000000E+00	
-3.7637720E+02	0.0000000E+00	1.8708354E-06	2.1065775E-06	0.0000000E+00	
-3.7625321E+02	0.0000000E+00	1.8669784E-06	2.1022344E-06	0.0000000E+00	
-3.7612808E+02	0.0000000E+00	1.8629752E-06	2.0977268E-06	0.0000000E+00	
-3.7600297E+02	0.0000000E+00	1.8588837E-06	2.0931197E-06	0.0000000E+00	
-3.7587894E+02	0.0000000E+00	1.8547573E-06	2.0884734E-06	0.0000000E+00	
-3.7575388E+02	0.0000000E+00	1.8505457E-06	2.0837310E-06	0.0000000E+00	
-3.7563096E+02	0.0000000E+00	1.8463729E-06	2.0790325E-06	0.0000000E+00	
-3.7550594E+02	0.0000000E+00	1.8421080E-06	2.0742301E-06	0.0000000E+00	
-3.7538804E+02	0.0000000E+00	1.8380830E-06	2.0696980E-06	0.0000000E+00	
-3.7527694E+02	0.0000000E+00	1.8342756E-06	2.0654108E-06	0.0000000E+00	
